Player,Nationality,Teams Played For
AB de Villiers,SA,"DC, RCB"
Aakash Chopra,IND,KKR
Aaron Finch,AUS,"DC, GL, KKR, MI, PBKS, RCB, RR, SRH"
Aavishkar Salvi,IND,DC
Abdul Basith,IND,RR
Abdul Samad,IND,"LSG, SRH"
Abdur Razzak,BAN,RCB
Abhijeet Tomar,IND,KKR
Abhimanyu Mithun,IND,"MI, RCB"
Abhinandan Singh,IND,RCB
Abhinav Kumar,IND,DQ
Abhinav Manohar,IND,"GT, SRH"
Abhinav Mukund,IND,"CSK, RCB"
Abhishek Jhunjhunwala,IND,"DQ, PWI, RR"
Abhishek Nayar,IND,"MI, RR"
Abhishek Porel,IND,DC
Abhishek Raut,IND,RR
Abhishek Sharma,IND,"DC, SRH"
Abrar Kazi,IND,RCB
Abu Nechim,IND,"MI, RCB"
Adam Gilchrist,AUS,"DQ, PBKS"
Adam Milne,NZ,"CSK, MI, RCB"
Adam Voges,AUS,RR
Adam Zampa,AUS,"RCB, RPSG, RR, SRH"
Adil Rashid,ENG,SRH
Aditya Dole,IND,RR
Aditya Tare,IND,"DC, MI, SRH"
Adrian Barath,WI,PBKS
Aiden Blizzard,AUS,MI
Aiden Markram,SA,"LSG, SRH"
Ajantha Mendis,SL,"KKR, PWI"
Ajinkya Rahane,IND,"CSK, DC, KKR, MI, RPSG"
Ajinkya Rahane †,IND,RR
Ajit Agarkar,IND,"DC, KKR"
Ajit Chandila,IND,RR
Akash Deep,IND,"LSG, RCB"
Akash Madhwal,IND,"MI, RR"
Akash Singh,IND,"LSG, RR"
Akeal Hosein,WI,SRH
Akila Dananjaya,SL,"CSK, MI"
Akshath Reddy,IND,"DQ, SRH"
Akshay Karnewar,IND,RCB
Akshay Wakhare,IND,MI
Akshdeep Nath,IND,"GL, PBKS, RCB"
Albie Morkel,SA,"CSK, DC, RCB"
Alex Carey,AUS,DC
Alex Hales,ENG,"MI, SRH"
Ali Murtaza,IND,"MI, PWI"
Alzarri Joseph,WI,"GT, MI, RCB"
Aman Khan,IND,"DC, KKR"
Ambati Rayudu,IND,"CSK, MI"
Amit Mishra,IND,"DC, DQ, GL, LSG, SRH"
Amit Paunikar ‡,IND,RR
Amit Singh,IND,RR
Amit Uniyal,IND,RR
Amitoze Singh,IND,MI
Anand Rajan,IND,"DQ, SRH"
Andre Russell,WI,"DC, KKR"
Andrew Flintoff,ENG,CSK
Andrew McDonald,AUS,"DC, RCB"
Andrew Symonds,AUS,"DQ, MI"
Andrew Tye,AUS,"CSK, GL, LSG, PBKS, RR"
André Nel,SA,MI
Aneeshwar Gautam,IND,RCB
Angelo Mathews,SL,"DC, KKR, PWI"
Aniket Choudhary,IND,RCB
Aniket Verma,IND,SRH
Anil Kumble,IND,RCB
Aniruddha Joshi,IND,RCB
Anirudh Singh,IND,DQ
Anirudha Srikkanth,IND,"CSK, SRH"
Ankeet Chavan,IND,"MI, RR"
Ankit Bawne,IND,DC
Ankit Rajpoot,IND,"KKR, LSG, RR"
Ankit Sharma,IND,"DQ, RPSG, RR, SRH"
Ankit Soni,IND,GL
Ankush Bains,IND,RPSG
Anmolpreet Singh,IND,"MI, SRH"
Anrich Nortje,SA,DC
Anshul Kamboj,IND,MI
Anuj Rawat,IND,"GT, RCB"
Anuj Rawat ‡,IND,RR
Anukul Roy,IND,"KKR, MI"
Anureet Singh,IND,"KKR, PBKS, RR"
Anustup Majumdar,IND,PWI
Apoorv Wankhade,IND,MI
Arindam Ghosh,IND,KKR
Arjun Tendulkar,IND,MI
Arjun Yadav,IND,DQ
Arshad Khan,IND,"GT, MI"
Arshdeep Singh,IND,PBKS
Arshin Kulkarni,IND,LSG
Arun Karthik,IND,RCB
Aryan Juyal,IND,"LSG, MI"
Asad Pathan,IND,RCB
Asela Gunaratne,SL,MI
Ashish Nehra,IND,"DC, MI, PWI, SRH"
Ashish Reddy,IND,"DQ, SRH"
Ashley Noffke,AUS,RCB
Ashok Dinda,IND,"DC, KKR, PWI, RCB, RPSG"
Ashok Menaria,IND,RR
Ashton Turner,AUS,"LSG, RR"
Ashutosh Sharma,IND,DC
Ashwani Kumar,IND,MI
Ashwell Prince,SA,"CSK, MI"
Atharva Taide,IND,SRH
Avesh Khan,IND,"DC, LSG, RCB, RR"
Avinash Singh,IND,RCB
Axar Patel,IND,"DC, MI, PBKS"
Ayush Badoni,IND,LSG
Azhar Bilakhia,IND,DQ
Azhar Mahmood,PAK,"KKR, PBKS"
Azmatullah Omarzai,AFG,PBKS
B. Akhil,IND,RCB
B. Chipli,IND,RCB
Baba Aparajith,IND,"CSK, RPSG"
Baba Indrajith,IND,KKR
Balachandra Akhil,IND,KTK
Barinder Sran,IND,"MI, RR, SRH"
Basil Thampi,IND,"GL, MI, SRH"
Ben Cutting,AUS,"MI, RR, SRH"
Ben Dunk,AUS,MI
Ben Hilfenhaus,AUS,"CSK, MI"
Ben Laughlin,AUS,"CSK, RR"
Ben Rohrer,AUS,DC
Ben Stokes,ENG,"CSK, RPSG, RR"
Beuran Hendricks,SA,MI
Bhagath Varma,IND,CSK
Bharat Chipli,IND,"DC, DQ"
Bhargav Bhatt,IND,PBKS
Bhuvneshwar Kumar,IND,"PWI, RCB, SRH"
Billy Stanlake,AUS,"RCB, SRH"
Biplab Samantray,IND,SRH
Bipul Sharma,IND,"PBKS, SRH"
Brad Hodge,AUS,"KKR, KTK, RR"
Brad Hogg,AUS,"KKR, RR"
Brendon McCullum,NZ,"CSK, GL, KKR, KTK, RCB"
Brett Geeves,AUS,DC
Brett Lee,AUS,"KKR, PBKS"
C. M. Gautam,IND,DC
CM Gautam,IND,RCB
Callum Ferguson,AUS,PWI
Cameron Green,AUS,"MI, RCB"
Cameron White,AUS,"DQ, RCB, SRH"
Carlos Brathwaite,WI,"DC, KKR, SRH"
Chama Milind,IND,RCB
Chamara Kapugedera,SL,CSK
Chamara Silva,SL,DQ
Chaminda Vaas,SL,DQ
Chandan Madan,IND,"KTK, MI"
Charl Langeveldt,SA,"KKR, RCB"
Chetan Sakariya,IND,"DC, RR"
Chetanya Nanda,IND,MI
Cheteshwar Pujara,IND,"CSK, KKR, RCB"
Chidhambaram Gautam,IND,MI
Chris Gayle,WI,"KKR, PBKS, RCB"
Chris Green,AUS,KKR
Chris Jordan,ENG,"MI, PBKS, RCB, SRH"
Chris Lynn,AUS,"DQ, KKR, MI"
Chris Morris,SA,"CSK, DC, RCB, RR"
Chris Woakes,ENG,"DC, KKR, RCB"
Christopher Barnwell,WI,RCB
Clint McKay,AUS,MI
Colin Ingram,SA,DC
Colin Munro,NZ,"DC, KKR, MI"
Colin de Grandhomme,NZ,"KKR, RCB"
Corey Anderson,USA,"DC, MI, RCB"
D'Arcy Short,AUS,RR
Dale Steyn,SA,"DQ, RCB, SRH"
Damien Martyn,AUS,RR
Dan Christian,AUS,"DC, DQ, RCB"
Daniel Christian,AUS,RPSG
Daniel Harris,AUS,DQ
Daniel Sams,AUS,"DC, LSG, MI, RCB"
Daniel Vettori,NZ,"DC, RCB"
Daren Sammy,WI,SRH
Darren Bravo,WI,"CSK, KKR"
Darren Lehmann,AUS,RR
Darren Sammy,WI,RCB
Darshan Nalkande,IND,GT
